Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2045,1440,818,131.5113,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2050,1796,1174,188.746,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2022,439,0,0,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2025,490,51,11.6173,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2030,569,130,29.6128,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2035,681,242,55.1253,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2040,844,405,92.2551,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2045,1065,626,142.5968,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2050,1341,902,205.467,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2022,149,0,0,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2025,163,14,9.396,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2030,191,42,28.1879,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2035,226,77,51.6779,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2040,270,121,81.2081,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2045,323,174,116.7785,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2050,390,241,161.745,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2022,119,0,0,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2025,130,11,9.2437,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2030,159,40,33.6134,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2035,193,74,62.1849,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2040,225,106,89.0756,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2045,250,131,110.084,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2050,270,151,126.8908,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2022,2067,0,0,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2025,2046,-21,-1.016,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2030,2674,607,29.3662,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2035,3483,1416,68.5051,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2040,4383,2316,112.0464,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2045,5293,3226,156.0716,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2050,6279,4212,203.7736,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2022,1121,0,0,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2025,1183,62,5.5308,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2030,1431,310,27.6539,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2035,1747,626,55.843,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2040,2141,1020,90.9902,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2045,2623,1502,133.9875,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2050,3200,2079,185.4594,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2022,151,0,0,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2025,160,9,5.9603,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2030,195,44,29.1391,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2035,233,82,54.3046,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2040,275,124,82.1192,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2045,326,175,115.894,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2050,383,232,153.6424,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2022,195,0,0,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2025,195,0,0,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2030,245,50,25.641,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2035,302,107,54.8718,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2040,370,175,89.7436,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2045,447,252,129.2308,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2050,544,349,178.9744,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2022,11945,0,0,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2025,14279,2334,19.5396,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2030,16620,4675,39.1377,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2035,19502,7557,63.265,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2040,23015,11070,92.6748,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2045,27178,15233,127.5262,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2050,31972,20027,167.6601,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2022,54,0,0,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2025,61,7,12.963,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2030,72,18,33.3333,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2035,88,34,62.963,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2040,113,59,109.2593,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2045,146,92,170.3704,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2050,187,133,246.2963,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2022,112,0,0,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2025,137,25,22.3214,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2030,173,61,54.4643,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2035,215,103,91.9643,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2040,256,144,128.5714,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2045,288,176,157.1429,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2050,304,192,171.4286,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2022,681,0,0,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2025,713,32,4.699,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2030,859,178,26.138,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2035,1040,359,52.7166,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2040,1271,590,86.6373,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2045,1574,893,131.1307,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2050,1972,1291,189.5742,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2022,8,0,0,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2025,11,3,37.5,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2030,12,4,50,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2035,14,6,75,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2040,17,9,112.5,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2045,19,11,137.5,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2050,22,14,175,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2022,500,0,0,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2025,517,17,3.4,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2030,622,122,24.4,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2035,769,269,53.8,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2040,979,479,95.8,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2045,1264,764,152.8,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2050,1639,1139,227.8,0
"27,28,26",Penis; Prostate; Testis,694,Sierra Leone,0,1,184,2022,184,0,0,0
"27,28,26",Penis; Prostate; Testis,694,Sierra Leone,0,1,184,2025,234,50,27.1739,0
"27,28,26",Penis; Prostate; Testis,694,Sierra Leone,0,1,184,2030,282,98,53.2609,0
"27,28,26",Penis; Prostate; Testis,694,Sierra Leone,0,1,184,2035,341,157,85.3261,0
"27,28,26",Penis; Prostate; Testis,694,Sierra Leone,0,1,184,2040,411,227,123.3696,0
"27,28,26",Penis; Prostate; Testis,694,Sierra Leone,0,1,184,2045,494,310,168.4783,0
"27,28,26",Penis; Prostate; Testis,694,Sierra Leone,0,1,184,2050,590,406,220.6522,0
"27,28,26",Penis; Prostate; Testis,706,Somalia,0,1,427,2022,427,0,0,0
"27,28,26",Penis; Prostate; Testis,706,Somalia,0,1,427,2025,391,-36,-8.4309,0
"27,28,26",Penis; Prostate; Testis,706,Somalia,0,1,427,2030,481,54,12.6464,0
"27,28,26",Penis; Prostate; Testis,706,Somalia,0,1,427,2035,583,156,36.534,0
"27,28,26",Penis; Prostate; Testis,706,Somalia,0,1,427,2040,697,270,63.2319,0
"27,28,26",Penis; Prostate; Testis,706,Somalia,0,1,427,2045,833,406,95.082,0
"27,28,26",Penis; Prostate; Testis,706,Somalia,0,1,427,2050,1000,573,134.192,0
"27,28,26",Penis; Prostate; Testis,710,South Africa,0,1,5524,2022,5524,0,0,0
"27,28,26",Penis; Prostate; Testis,710,South Africa,0,1,5524,2025,5903,379,6.861,0
"27,28,26",Penis; Prostate; Testis,710,South Africa,0,1,5524,2030,7292,1768,32.0058,0
"27,28,26",Penis; Prostate; Testis,710,South Africa,0,1,5524,2035,8866,3342,60.4996,0
"27,28,26",Penis; Prostate; Testis,710,South Africa,0,1,5524,2040,10591,5067,91.727,0
"27,28,26",Penis; Prostate; Testis,710,South Africa,0,1,5524,2045,12719,7195,130.2498,0
"27,28,26",Penis; Prostate; Testis,710,South Africa,0,1,5524,2050,15470,9946,180.0507,0
"27,28,26",Penis; Prostate; Testis,716,Zimbabwe,0,1,940,2022,940,0,0,0
"27,28,26",Penis; Prostate; Testis,716,Zimbabwe,0,1,940,2025,1225,285,30.3191,0
"27,28,26",Penis; Prostate; Testis,716,Zimbabwe,0,1,940,2030,1358,418,44.4681,0
"27,28,26",Penis; Prostate; Testis,716,Zimbabwe,0,1,940,2035,1496,556,59.1489,0
"27,28,26",Penis; Prostate; Testis,716,Zimbabwe,0,1,940,2040,1720,780,82.9787,0
"27,28,26",Penis; Prostate; Testis,716,Zimbabwe,0,1,940,2045,2101,1161,123.5106,0
"27,28,26",Penis; Prostate; Testis,716,Zimbabwe,0,1,940,2050,2644,1704,181.2766,0
"27,28,26",Penis; Prostate; Testis,728,South Sudan,0,1,388,2022,388,0,0,0
"27,28,26",Penis; Prostate; Testis,728,South Sudan,0,1,388,2025,300,-88,-22.6804,0
"27,28,26",Penis; Prostate; Testis,728,South Sudan,0,1,388,2030,375,-13,-3.3505,0
"27,28,26",Penis; Prostate; Testis,728,South Sudan,0,1,388,2035,468,80,20.6186,0
"27,28,26",Penis; Prostate; Testis,728,South Sudan,0,1,388,2040,572,184,47.4227,0
"27,28,26",Penis; Prostate; Testis,728,South Sudan,0,1,388,2045,678,290,74.7423,0
"27,28,26",Penis; Prostate; Testis,728,South Sudan,0,1,388,2050,774,386,99.4845,0
"27,28,26",Penis; Prostate; Testis,729,Sudan,0,1,757,2022,757,0,0,0
"27,28,26",Penis; Prostate; Testis,729,Sudan,0,1,757,2025,742,-15,-1.9815,0
"27,28,26",Penis; Prostate; Testis,729,Sudan,0,1,757,2030,906,149,19.683,0
"27,28,26",Penis; Prostate; Testis,729,Sudan,0,1,757,2035,1052,295,38.9696,0
"27,28,26",Penis; Prostate; Testis,729,Sudan,0,1,757,2040,1218,461,60.8983,0
"27,28,26",Penis; Prostate; Testis,729,Sudan,0,1,757,2045,1461,704,92.9987,0
"27,28,26",Penis; Prostate; Testis,729,Sudan,0,1,757,2050,1826,1069,141.2153,0
"27,28,26",Penis; Prostate; Testis,748,Eswatini,0,1,67,2022,67,0,0,0
"27,28,26",Penis; Prostate; Testis,748,Eswatini,0,1,67,2025,75,8,11.9403,0
"27,28,26",Penis; Prostate; Testis,748,Eswatini,0,1,67,2030,90,23,34.3284,0
"27,28,26",Penis; Prostate; Testis,748,Eswatini,0,1,67,2035,107,40,59.7015,0
"27,28,26",Penis; Prostate; Testis,748,Eswatini,0,1,67,2040,124,57,85.0746,0
"27,28,26",Penis; Prostate; Testis,748,Eswatini,0,1,67,2045,146,79,117.9104,0
"27,28,26",Penis; Prostate; Testis,748,Eswatini,0,1,67,2050,175,108,161.194,0
"27,28,26",Penis; Prostate; Testis,768,Togo,0,1,300,2022,300,0,0,0
"27,28,26",Penis; Prostate; Testis,768,Togo,0,1,300,2025,367,67,22.3333,0
"27,28,26",Penis; Prostate; Testis,768,Togo,0,1,300,2030,441,141,47,0
"27,28,26",Penis; Prostate; Testis,768,Togo,0,1,300,2035,535,235,78.3333,0
"27,28,26",Penis; Prostate; Testis,768,Togo,0,1,300,2040,646,346,115.3333,0
"27,28,26",Penis; Prostate; Testis,768,Togo,0,1,300,2045,777,477,159,0
"27,28,26",Penis; Prostate; Testis,768,Togo,0,1,300,2050,923,623,207.6667,0
"27,28,26",Penis; Prostate; Testis,788,Tunisia,0,1,593,2022,593,0,0,0
"27,28,26",Penis; Prostate; Testis,788,Tunisia,0,1,593,2025,646,53,8.9376,0
"27,28,26",Penis; Prostate; Testis,788,Tunisia,0,1,593,2030,813,220,37.0995,0
"27,28,26",Penis; Prostate; Testis,788,Tunisia,0,1,593,2035,1037,444,74.8735,0
"27,28,26",Penis; Prostate; Testis,788,Tunisia,0,1,593,2040,1293,700,118.0438,0
"27,28,26",Penis; Prostate; Testis,788,Tunisia,0,1,593,2045,1551,958,161.5514,0
"27,28,26",Penis; Prostate; Testis,788,Tunisia,0,1,593,2050,1805,1212,204.3845,0
"27,28,26",Penis; Prostate; Testis,800,Uganda,0,1,1726,2022,1726,0,0,0
"27,28,26",Penis; Prostate; Testis,800,Uganda,0,1,1726,2025,1623,-103,-5.9676,0
"27,28,26",Penis; Prostate; Testis,800,Uganda,0,1,1726,2030,2048,322,18.6559,0
"27,28,26",Penis; Prostate; Testis,800,Uganda,0,1,1726,2035,2588,862,49.9421,0
"27,28,26",Penis; Prostate; Testis,800,Uganda,0,1,1726,2040,3250,1524,88.2966,0
"27,28,26",Penis; Prostate; Testis,800,Uganda,0,1,1726,2045,4078,2352,136.2688,0
"27,28,26",Penis; Prostate; Testis,800,Uganda,0,1,1726,2050,5157,3431,198.7833,0
"27,28,26",Penis; Prostate; Testis,818,Egypt,0,1,2161,2022,2161,0,0,0
"27,28,26",Penis; Prostate; Testis,818,Egypt,0,1,2161,2025,1774,-387,-17.9084,0
"27,28,26",Penis; Prostate; Testis,818,Egypt,0,1,2161,2030,2277,116,5.3679,0
"27,28,26",Penis; Prostate; Testis,818,Egypt,0,1,2161,2035,2936,775,35.863,0
"27,28,26",Penis; Prostate; Testis,818,Egypt,0,1,2161,2040,3744,1583,73.2531,0
"27,28,26",Penis; Prostate; Testis,818,Egypt,0,1,2161,2045,4726,2565,118.695,0
"27,28,26",Penis; Prostate; Testis,818,Egypt,0,1,2161,2050,5902,3741,173.1143,0
"27,28,26",Penis; Prostate; Testis,834,"Tanzania, United Republic of",0,1,2885,2022,2885,0,0,0
"27,28,26",Penis; Prostate; Testis,834,"Tanzania, United Republic of",0,1,2885,2025,3969,1084,37.5737,0
"27,28,26",Penis; Prostate; Testis,834,"Tanzania, United Republic of",0,1,2885,2030,4710,1825,63.2582,0
"27,28,26",Penis; Prostate; Testis,834,"Tanzania, United Republic of",0,1,2885,2035,5655,2770,96.0139,0
"27,28,26",Penis; Prostate; Testis,834,"Tanzania, United Republic of",0,1,2885,2040,6965,4080,141.4211,0
"27,28,26",Penis; Prostate; Testis,834,"Tanzania, United Republic of",0,1,2885,2045,8716,5831,202.1144,0
"27,28,26",Penis; Prostate; Testis,834,"Tanzania, United Republic of",0,1,2885,2050,10859,7974,276.3951,0
"27,28,26",Penis; Prostate; Testis,854,Burkina Faso,0,1,794,2022,794,0,0,0
"27,28,26",Penis; Prostate; Testis,854,Burkina Faso,0,1,794,2025,911,117,14.7355,0
"27,28,26",Penis; Prostate; Testis,854,Burkina Faso,0,1,794,2030,1103,309,38.9169,0
"27,28,26",Penis; Prostate; Testis,854,Burkina Faso,0,1,794,2035,1369,575,72.4181,0
"27,28,26",Penis; Prostate; Testis,854,Burkina Faso,0,1,794,2040,1701,907,114.2317,0
"27,28,26",Penis; Prostate; Testis,854,Burkina Faso,0,1,794,2045,2112,1318,165.995,0
"27,28,26",Penis; Prostate; Testis,854,Burkina Faso,0,1,794,2050,2645,1851,233.1234,0
"27,28,26",Penis; Prostate; Testis,894,Zambia,0,1,933,2022,933,0,0,0
"27,28,26",Penis; Prostate; Testis,894,Zambia,0,1,933,2025,877,-56,-6.0021,0
"27,28,26",Penis; Prostate; Testis,894,Zambia,0,1,933,2030,1177,244,26.1522,0
"27,28,26",Penis; Prostate; Testis,894,Zambia,0,1,933,2035,1601,668,71.597,0
"27,28,26",Penis; Prostate; Testis,894,Zambia,0,1,933,2040,2174,1241,133.0118,0
"27,28,26",Penis; Prostate; Testis,894,Zambia,0,1,933,2045,2902,1969,211.0397,0
"27,28,26",Penis; Prostate; Testis,894,Zambia,0,1,933,2050,3775,2842,304.6088,0