Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
DZA,27,012,12,Algeria,0,3514,3294,3749,3514,15.5,15.3,1.9
AGO,27,024,24,Angola,0,2618,2495,2747,2618,47.9,15.1,5.7
BWA,27,072,72,Botswana,0,159,118,214,159,23.9,13.4,2.8
BDI,27,108,108,Burundi,0,822,608,1111,822,38.0,13.1,4.5
CMR,27,120,120,Cameroon,0,2050,1318,3189,2050,38.6,14.7,4.7
CPV,27,132,132,Cape Verde,0,77,61,98,77,43.6,27.0,5.2
CAF,27,140,140,Central African Republic,0,257,208,317,257,31.3,10.3,3.6
TCD,27,148,148,Chad,0,2582,2471,2698,2582,82.2,29.7,10.6
COM,27,174,174,Comoros,0,68,58,80,68,33.2,14.9,3.9
COG,27,178,178,"Congo, Republic of",0,441,366,531,441,42.3,15.2,4.8
COD,27,180,180,"Congo, Democratic Republic of",0,7799,5595,10872,7799,40.1,16.4,4.6
BEN,27,204,204,Benin,0,1048,912,1205,1048,38.0,16.4,4.7
GNQ,27,226,226,Equatorial Guinea,0,90,65,125,90,31.9,10.8,4.0
ETH,27,231,231,Ethiopia,0,2317,2155,2491,2317,8.0,3.8,1.0
ERI,27,232,232,Eritrea,0,112,98,127,112,10.9,6.1,1.3
DJI,27,262,262,Djibouti,0,41,35,48,41,11.1,7.7,1.4
GAB,27,266,266,Gabon,0,152,109,212,152,26.1,12.8,3.3
GMB,27,270,270,The Republic of the Gambia,0,48,27,85,48,10.3,3.8,1.1
GHA,27,288,288,Ghana,0,2395,2190,2619,2395,30.4,14.6,3.6
GIN,27,324,324,Guinea,0,749,641,875,749,34.0,11.1,3.7
CIV,27,384,384,"Côte d'Ivoire",0,4041,3790,4309,4041,63.8,28.9,8.0
KEN,27,404,404,Kenya,0,3582,3342,3839,3582,39.7,12.8,4.2
LSO,27,426,426,Lesotho,0,181,116,282,181,32.1,16.8,3.0
LBR,27,430,430,Liberia,0,470,360,613,470,38.6,17.6,4.5
LBY,27,434,434,Libya,0,370,296,462,370,16.2,10.4,1.7
MDG,27,450,450,Madagascar,0,2160,1830,2550,2160,33.4,14.8,3.8
MWI,27,454,454,Malawi,0,929,804,1074,929,28.0,9.3,3.2
MLI,27,466,466,Mali,0,712,610,831,712,21.0,6.6,2.4
MRT,27,478,478,Mauritania,0,286,43,1891,286,26.5,11.6,3.2
MUS,27,480,480,Mauritius,0,261,222,307,261,24.8,41.6,2.9
MAR,27,504,504,Morocco,0,4935,4658,5229,4935,23.6,26.3,2.9
MOZ,27,508,508,Mozambique,0,1556,1408,1720,1556,28.3,9.7,3.5
NAM,27,516,516,Namibia,0,347,283,425,347,63.8,27.2,6.5
NER,27,562,562,Niger,0,264,193,361,264,5.5,2.0,0.67
NGA,27,566,566,Nigeria,0,18019,17459,18597,18019,41.2,16.4,5.0
GNB,27,624,624,Guinea-Bissau,0,104,20,554,104,28.8,10.3,3.6
REU,27,638,638,"France, La Réunion",0,459,447,472,459,59.6,104.5,7.4
RWA,27,646,646,Rwanda,0,1016,747,1381,1016,36.4,15.2,4.3
STP,27,678,678,Sao Tome and Principe,0,22,12,40,22,44.8,19.3,5.8
SEN,27,686,686,Senegal,0,913,163,5108,913,27.1,10.6,3.1
SLE,27,694,694,Sierra Leone,0,374,103,1356,374,21.2,9.0,2.9
SOM,27,706,706,Somalia,0,623,532,729,623,18.5,7.4,1.9
ZAF,27,710,710,South Africa,0,12903,11244,14807,12903,62.0,43.2,7.4
ZWE,27,716,716,Zimbabwe,0,1707,1555,1874,1707,68.3,23.3,7.6
SSD,27,728,728,South Sudan,0,591,474,737,591,22.0,10.2,2.4
SDN,27,729,729,Sudan,0,1404,1240,1589,1404,11.9,6.1,1.4
SWZ,27,748,748,Eswatini,0,101,71,144,101,41.0,17.3,4.0
TGO,27,768,768,Togo,0,577,503,662,577,31.3,13.4,3.9
TUN,27,788,788,Tunisia,0,1252,1108,1415,1252,16.8,21.0,1.9
UGA,27,800,800,Uganda,0,2699,2496,2919,2699,43.1,11.3,5.3
EGY,27,818,818,Egypt,0,5181,4874,5507,5181,13.5,9.7,1.6
TZA,27,834,834,"Tanzania, United Republic of",0,4805,4335,5326,4805,45.4,15.2,5.0
BFA,27,854,854,Burkina Faso,0,1152,1114,1191,1152,35.3,10.4,4.0
ZMB,27,894,894,Zambia,0,1642,1483,1818,1642,65.4,17.0,7.3
,,,,Total,,102977,,,102977,30.3,14.7,3.7